id,area_name,population,density
065001,Acerno,4836.0,
065002,Agropoli,42836.0,
065003,Albanella,12678.0,
065004,Alfano,1782.0,
065005,Altavilla Silentina,14116.0,
065006,Amalfi,9144.0,
065007,Angri,68706.0,
065008,Aquara,2474.0,
065009,Ascea,11828.0,
065010,Atena Lucana,4800.0,
065011,Atrani,1502.0,
065012,Auletta,4212.0,
065013,Baronissi,33576.0,
065014,Battipaglia,99008.0,
065015,Bellosguardo,1278.0,
065016,Bracigliano,10686.0,
065017,Buccino,8924.0,
065018,Buonabitacolo,4908.0,
065019,Caggiano,4972.0,
065020,Calvanico,2814.0,
065021,Camerota,13482.0,
065022,Campagna,34388.0,
065023,Campora,594.0,
065024,Cannalonga,1878.0,
065025,Capaccio Paestum,44926.0,
065026,Casalbuono,2026.0,
065027,Casaletto Spartano,2444.0,
065028,Casal Velino,10736.0,
065029,Caselle in Pittari,3720.0,
065030,Castelcivita,2740.0,
065031,Castellabate,17344.0,
065032,Castelnuovo Cilento,5698.0,
065033,Castelnuovo di Conza,1114.0,
065034,Castel San Giorgio,27516.0,
065035,Castel San Lorenzo,4364.0,
065036,Castiglione del Genovesi,2560.0,
065037,Cava de' Tirreni,98660.0,
065038,Celle di Bulgheria,3354.0,
065039,Centola,10040.0,
065040,Ceraso,4390.0,
065041,Cetara,3772.0,
065042,Cicerale,2356.0,
065043,Colliano,6774.0,
065044,Conca dei Marini,1270.0,
065045,Controne,1514.0,
065046,Contursi Terme,6316.0,
065047,Corbara,5036.0,
065048,Corleto Monforte,924.0,
065049,Cuccaro Vetere,1020.0,
065050,Eboli,75312.0,
065051,Felitto,2280.0,
065052,Fisciano,28474.0,
065053,Furore,1356.0,
065054,Futani,2096.0,
065055,Giffoni Sei Casali,9902.0,
065056,Giffoni Valle Piana,22922.0,
065057,Gioi,2116.0,
065058,Giungano,2610.0,
065059,Ispani,1942.0,
065060,Laureana Cilento,2510.0,
065061,Laurino,2400.0,
065062,Laurito,1294.0,
065063,Laviano,2522.0,
065064,Lustra,2010.0,
065065,Magliano Vetere,1146.0,
065066,Maiori,10422.0,
065067,Mercato San Severino,42618.0,
065068,Minori,5056.0,
065069,Moio della Civitella,3620.0,
065070,Montano Antilia,3288.0,
065071,Montecorice,5184.0,
065072,Montecorvino Pugliano,22424.0,
065073,Montecorvino Rovella,24616.0,
065074,Monteforte Cilento,1062.0,
065075,Monte San Giacomo,2708.0,
065076,Montesano sulla Marcellana,12562.0,
065077,Morigerati,1154.0,
065078,Nocera Inferiore,86582.0,
065079,Nocera Superiore,46792.0,
065080,Novi Velia,4656.0,
065081,Ogliastro Cilento,4614.0,
065082,Olevano sul Tusciano,13142.0,
065083,Oliveto Citra,7202.0,
065084,Omignano,3272.0,
065085,Orria,1774.0,
065086,Ottati,1128.0,
065087,Padula,9550.0,
065088,Pagani,70234.0,
065089,Palomonte,7544.0,
065090,Pellezzano,21648.0,
065091,Perdifumo,3604.0,
065092,Perito,1526.0,
065093,Pertosa,1264.0,
065094,Petina,1968.0,
065095,Piaggine,2112.0,
065096,Pisciotta,4832.0,
065097,Polla,10168.0,
065098,Pollica,4096.0,
065099,Pontecagnano Faiano,52668.0,
065100,Positano,7286.0,
065101,Postiglione,4038.0,
065102,Praiano,3840.0,
065103,Prignano Cilento,2222.0,
065104,Ravello,4670.0,
065105,Ricigliano,2078.0,
065106,Roccadaspide,13800.0,
065107,Roccagloriosa,3070.0,
065108,Roccapiemonte,17352.0,
065109,Rofrano,2444.0,
065110,Romagnano al Monte,738.0,
065111,Roscigno,1140.0,
065112,Rutino,1488.0,
065113,Sacco,788.0,
065114,Sala Consilina,24206.0,
065115,Salento,3468.0,
065116,Salerno,250646.0,
065117,Salvitelle,914.0,
065118,San Cipriano Picentino,13476.0,
065119,San Giovanni a Piro,7182.0,
065120,San Gregorio Magno,7596.0,
065121,San Mango Piemonte,5232.0,
065122,San Marzano sul Sarno,20418.0,
065123,San Mauro Cilento,1648.0,
065124,San Mauro la Bruca,1000.0,
065125,San Pietro al Tanagro,3398.0,
065126,San Rufo,3170.0,
065127,Santa Marina,6440.0,
065128,Sant'Angelo a Fasanella,996.0,
065129,Sant'Arsenio,5278.0,
065130,Sant'Egidio del Monte Albino,15366.0,
065131,Santomenna,736.0,
065132,San Valentino Torio,21988.0,
065133,Sanza,4626.0,
065134,Sapri,12522.0,
065135,Sarno,61874.0,
065136,Sassano,9360.0,
065137,Scafati,95148.0,
065138,Scala,3014.0,
065139,Serramezzana,544.0,
065140,Serre,7342.0,
065141,Sessa Cilento,2258.0,
065142,Siano,18452.0,
065143,Sicignano degli Alburni,6114.0,
065144,Stella Cilento,1224.0,
065145,Stio,1518.0,
065146,Teggiano,13934.0,
065147,Torchiara,3816.0,
065148,Torraca,2428.0,
065149,Torre Orsaia,3856.0,
065150,Tortorella,924.0,
065151,Tramonti,8418.0,
065152,Trentinara,3146.0,
065153,Valle dell'Angelo,434.0,
065154,Vallo della Lucania,15558.0,
065155,Valva,3078.0,
065156,Vibonati,6470.0,
065157,Vietri sul Mare,13756.0,
065158,Bellizzi,26660.0,
