"Popolazione residente per età e sesso al 1° gennaio 2026 (stima)"
"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"065001";"Acerno";0;6;6;12
"065001";"Acerno";1;5;6;11
"065001";"Acerno";2;5;10;15
"065001";"Acerno";3;8;7;15
"065001";"Acerno";4;7;7;14
"065001";"Acerno";5;8;10;18
"065001";"Acerno";6;5;9;14
"065001";"Acerno";7;8;4;12
"065001";"Acerno";8;6;7;13
"065001";"Acerno";9;7;5;12
"065001";"Acerno";10;13;8;21
"065001";"Acerno";11;6;10;16
"065001";"Acerno";12;10;7;17
"065001";"Acerno";13;13;8;21
"065001";"Acerno";14;18;5;23
"065001";"Acerno";15;11;9;20
"065001";"Acerno";16;15;11;26
"065001";"Acerno";17;15;9;24
"065001";"Acerno";18;13;8;21
"065001";"Acerno";19;8;16;24
"065001";"Acerno";20;13;15;28
"065001";"Acerno";21;14;15;29
"065001";"Acerno";22;15;14;29
"065001";"Acerno";23;15;11;26
"065001";"Acerno";24;16;16;32
"065001";"Acerno";25;15;11;26
"065001";"Acerno";26;10;16;26
"065001";"Acerno";27;17;21;38
"065001";"Acerno";28;11;9;20
"065001";"Acerno";29;21;13;34
"065001";"Acerno";30;13;18;31
"065001";"Acerno";31;22;14;36
"065001";"Acerno";32;20;10;30
"065001";"Acerno";33;16;11;27
"065001";"Acerno";34;14;18;32
"065001";"Acerno";35;22;14;36
"065001";"Acerno";36;13;16;29
"065001";"Acerno";37;17;19;36
"065001";"Acerno";38;19;14;33
"065001";"Acerno";39;19;13;32
"065001";"Acerno";40;16;14;30
"065001";"Acerno";41;17;15;32
"065001";"Acerno";42;17;11;28
"065001";"Acerno";43;15;18;33
"065001";"Acerno";44;19;8;27
"065001";"Acerno";45;14;7;21
"065001";"Acerno";46;12;14;26
"065001";"Acerno";47;11;23;34
"065001";"Acerno";48;19;14;33
"065001";"Acerno";49;24;17;41
"065001";"Acerno";50;14;18;32
"065001";"Acerno";51;19;14;33
"065001";"Acerno";52;23;16;39
"065001";"Acerno";53;16;15;31
"065001";"Acerno";54;14;12;26
"065001";"Acerno";55;15;23;38
"065001";"Acerno";56;31;26;57
"065001";"Acerno";57;19;22;41
"065001";"Acerno";58;20;16;36
"065001";"Acerno";59;26;25;51
"065001";"Acerno";60;28;24;52
"065001";"Acerno";61;26;22;48
"065001";"Acerno";62;11;18;29
"065001";"Acerno";63;18;21;39
"065001";"Acerno";64;18;18;36
"065001";"Acerno";65;24;25;49
"065001";"Acerno";66;18;19;37
"065001";"Acerno";67;13;12;25
"065001";"Acerno";68;13;14;27
"065001";"Acerno";69;12;19;31
"065001";"Acerno";70;20;20;40
"065001";"Acerno";71;10;12;22
"065001";"Acerno";72;18;12;30
"065001";"Acerno";73;13;15;28
"065001";"Acerno";74;13;13;26
"065001";"Acerno";75;6;12;18
"065001";"Acerno";76;10;12;22
"065001";"Acerno";77;9;13;22
"065001";"Acerno";78;8;7;15
"065001";"Acerno";79;9;11;20
"065001";"Acerno";80;5;5;10
"065001";"Acerno";81;5;8;13
"065001";"Acerno";82;3;8;11
"065001";"Acerno";83;7;5;12
"065001";"Acerno";84;9;10;19
"065001";"Acerno";85;3;4;7
"065001";"Acerno";86;3;9;12
"065001";"Acerno";87;8;10;18
"065001";"Acerno";88;5;6;11
"065001";"Acerno";89;2;4;6
"065001";"Acerno";90;5;2;7
"065001";"Acerno";91;0;6;6
"065001";"Acerno";92;3;6;9
"065001";"Acerno";93;0;3;3
"065001";"Acerno";94;0;1;1
"065001";"Acerno";95;1;2;3
"065001";"Acerno";96;1;1;2
"065001";"Acerno";97;0;0;0
"065001";"Acerno";98;0;1;1
"065001";"Acerno";99;1;1;2
"065001";"Acerno";100;1;0;1
"065001";"Acerno";999;1229;1189;2418
"065002";"Agropoli";0;67;60;127
"065002";"Agropoli";1;68;57;125
"065002";"Agropoli";2;82;70;152
"065002";"Agropoli";3;67;74;141
"065002";"Agropoli";4;87;68;155
"065002";"Agropoli";5;81;51;132
"065002";"Agropoli";6;73;74;147
"065002";"Agropoli";7;82;66;148
"065002";"Agropoli";8;85;91;176
"065002";"Agropoli";9;94;80;174
"065002";"Agropoli";10;90;78;168
"065002";"Agropoli";11;119;107;226
"065002";"Agropoli";12;81;80;161
"065002";"Agropoli";13;76;103;179
"065002";"Agropoli";14;111;96;207
"065002";"Agropoli";15;107;100;207
"065002";"Agropoli";16;121;111;232
"065002";"Agropoli";17;97;86;183
"065002";"Agropoli";18;118;91;209
"065002";"Agropoli";19;105;89;194
"065002";"Agropoli";20;122;100;222
"065002";"Agropoli";21;104;122;226
"065002";"Agropoli";22;127;108;235
"065002";"Agropoli";23;104;105;209
"065002";"Agropoli";24;127;103;230
"065002";"Agropoli";25;129;100;229
"065002";"Agropoli";26;116;118;234
"065002";"Agropoli";27;150;115;265
"065002";"Agropoli";28;125;89;214
"065002";"Agropoli";29;110;104;214
"065002";"Agropoli";30;120;105;225
"065002";"Agropoli";31;105;133;238
"065002";"Agropoli";32;127;106;233
"065002";"Agropoli";33;142;109;251
"065002";"Agropoli";34;133;109;242
"065002";"Agropoli";35;133;122;255
"065002";"Agropoli";36;100;112;212
"065002";"Agropoli";37;149;133;282
"065002";"Agropoli";38;140;111;251
"065002";"Agropoli";39;142;150;292
"065002";"Agropoli";40;137;143;280
"065002";"Agropoli";41;132;139;271
"065002";"Agropoli";42;133;122;255
"065002";"Agropoli";43;133;130;263
"065002";"Agropoli";44;146;144;290
"065002";"Agropoli";45;144;139;283
"065002";"Agropoli";46;172;154;326
"065002";"Agropoli";47;159;143;302
"065002";"Agropoli";48;150;158;308
"065002";"Agropoli";49;166;172;338
"065002";"Agropoli";50;157;170;327
"065002";"Agropoli";51;174;186;360
"065002";"Agropoli";52;153;190;343
"065002";"Agropoli";53;152;201;353
"065002";"Agropoli";54;175;177;352
"065002";"Agropoli";55;140;171;311
"065002";"Agropoli";56;171;187;358
"065002";"Agropoli";57;171;182;353
"065002";"Agropoli";58;165;165;330
"065002";"Agropoli";59;174;156;330
"065002";"Agropoli";60;153;176;329
"065002";"Agropoli";61;137;180;317
"065002";"Agropoli";62;165;191;356
"065002";"Agropoli";63;139;165;304
"065002";"Agropoli";64;136;164;300
"065002";"Agropoli";65;136;158;294
"065002";"Agropoli";66;136;147;283
"065002";"Agropoli";67;133;126;259
"065002";"Agropoli";68;129;158;287
"065002";"Agropoli";69;123;138;261
"065002";"Agropoli";70;136;159;295
"065002";"Agropoli";71;124;151;275
"065002";"Agropoli";72;123;135;258
"065002";"Agropoli";73;97;140;237
"065002";"Agropoli";74;106;129;235
"065002";"Agropoli";75;93;121;214
"065002";"Agropoli";76;104;126;230
"065002";"Agropoli";77;110;99;209
"065002";"Agropoli";78;103;105;208
"065002";"Agropoli";79;98;116;214
"065002";"Agropoli";80;69;96;165
"065002";"Agropoli";81;56;86;142
"065002";"Agropoli";82;58;69;127
"065002";"Agropoli";83;60;68;128
"065002";"Agropoli";84;59;59;118
"065002";"Agropoli";85;62;75;137
"065002";"Agropoli";86;56;77;133
"065002";"Agropoli";87;48;58;106
"065002";"Agropoli";88;40;53;93
